,Percentile,Cutoff,Accuracy,ErrorRate,Precision,Recall,FPR,f1Score
77,77.0,77.0,0.49528301886792453,0.5047169811320755,0.75,0.05405405405405406,0.01980198019801982,0.10084033613445378
78,78.0,78.0,0.49056603773584906,0.5094339622641509,0.7142857142857143,0.04504504504504504,0.01980198019801982,0.0847457627118644
79,79.0,79.0,0.49056603773584906,0.5094339622641509,0.7142857142857143,0.04504504504504504,0.01980198019801982,0.0847457627118644
80,80.0,80.0,0.49056603773584906,0.5094339622641509,0.7142857142857143,0.04504504504504504,0.01980198019801982,0.0847457627118644
81,81.0,81.0,0.49056603773584906,0.5094339622641509,0.7142857142857143,0.04504504504504504,0.01980198019801982,0.0847457627118644
82,82.0,82.0,0.49056603773584906,0.5094339622641509,0.7142857142857143,0.04504504504504504,0.01980198019801982,0.0847457627118644
83,83.0,83.0,0.49528301886792453,0.5047169811320755,0.8333333333333334,0.04504504504504504,0.00990099009900991,0.08547008547008547
84,84.0,84.0,0.49528301886792453,0.5047169811320755,0.8333333333333334,0.04504504504504504,0.00990099009900991,0.08547008547008547
85,85.0,85.0,0.49056603773584906,0.5094339622641509,0.8,0.036036036036036036,0.00990099009900991,0.06896551724137931
86,86.0,86.0,0.49056603773584906,0.5094339622641509,0.8,0.036036036036036036,0.00990099009900991,0.06896551724137931
